cps_year,occupation,sub_occupation_1,sub_occupation_2,total_number_employed_white,number_employed_white_per_100,total_number_employed_black,number_employed_black_per_100,total_number_employed_asian,number_employed_asian_per_100,total_number_employed_hispanic,number_employed_hispanic_per_100,acs_year
2024,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Railroad conductors and yardmasters,39474.0,0.018719106822896774,9741.0,0.02371752840028546,255.0,0.001317648391365755,4386.0,0.00694739364155716,2023
2024,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Other material moving workers,54795.0,0.025984533068871375,8970.0,0.021840286392625044,585.0000000000001,0.0030228404272508503,22230.0,0.035212166131284924,2023
2024,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Transportation service attendants,61800.00000000001,0.029306399190733662,8775.0,0.02136549755800276,2325.0,0.012013852980099531,15225.000000000002,0.024116294617580435,2023
2024,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Crane and tower operators,41181.0,0.019528589402485485,7737.999999999999,0.01884059488362682,2438.0,0.012597752071175335,9381.0,0.014859439067817538,2023
2024,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Parking attendants,31535.999999999996,0.01495479943169865,14580.000000000002,0.03549959594252767,2970.0,0.015346728322965852,15605.999999999998,0.024719795980424314,2023
2024,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Refuse and recyclable material collectors,76024.0,0.03605161314039378,21944.000000000004,0.05342957018949432,5304.0,0.027407086540407702,27144.0,0.04299590811820054,2023
2024,"Production, transportation, and material moving occupations",Transportation and material moving occupations,"Bus drivers, school",150147.0,0.07120174626684607,42210.0,0.10277352158670044,5427.000000000001,0.028042658117419423,31557.0,0.049986069572872625,2023
2024,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Aircraft pilots and flight engineers,188079.0,0.08918961575071192,9372.000000000002,0.02281908183630791,5751.000000000001,0.02971684666174297,17679.0,0.028003413631803246,2023
2024,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Flight attendants,89010.0,0.04220975067908096,29154.0,0.07098458299783618,6708.000000000001,0.03466190356580975,20511.0,0.032489282029634955,2023
2024,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Shuttle drivers and chauffeurs,52693.0,0.02498773612552312,17064.000000000004,0.04154767525125461,6793.999999999999,0.03510628694485858,13114.0,0.020772485229224945,2023
